Business,Email,Website,Phone,SourceURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_reasons,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Hyatt Centric Mountain View,salesmountainview.centric@hyatt.com,https://www.hyatt.com/,650-948-1234,https://www.hyatt.com/,"Mountain View, CA","Hotel, meetings and events","The Mountain View property supports stays, meetings and events; location-specific meeting and guest-planning content can clarify the booking path.",2026-09-15,"Current official Hyatt property information lists 409 San Antonio Rd, Mountain View and a location-specific sales inbox.",YES,,hyattcentricmountainview,salesmountainview.centric@hyatt.com,hyatt.com,6509481234
The Cactus Lounge Boutique,hello@thecactuslounge.com,https://thecactuslounge.com/,408-776-3434,https://thecactuslounge.com/,"Morgan Hill, CA","Boutique, ecommerce and local events","The Cactus Lounge blends boutique retail, ecommerce, pickup and local events/popups; styling, new-arrival and event content can connect those customer paths.",2026-09-15,"Current owned site lists 439 Vineyard Town Center, Morgan Hill, public hello inbox and active retail/event activity.",YES,,cactuslodgeboutique,hello@thecactuslounge.com,thecactuslounge.com,4087763434
Tryst Morgan Hill,belinda.ettelbrick@gmail.com,https://trystmorganhill.com/,408-782-2050,https://trystmorganhill.com/,"Morgan Hill, CA",Women's boutique and personal shopping,"Tryst is appointment-oriented and owner-led; personal-shopping, styling and appointment-prep content can explain the experience before a customer visits.",2026-09-15,"Current owned site identifies Morgan Hill boutique, owner Belinda and public business contact.",YES,,trystmorganhill,belinda.ettelbrick@gmail.com,trystmorganhill.com,4087822050
PSK InDesign LLC,diptyparikh@pskindesign.com,https://pskindesign.com/,650-451-2993,https://pskindesign.com/,"Sunnyvale, CA",Interior design,"PSK supports whole-home and room-level design decisions; project-type, selection-process and consultation-prep content can make the service easier to evaluate.",2026-09-15,"Current owned site/business evidence lists Sunnyvale, public designer inbox and active interior-design services.",YES,,pskindesign,diptyparikh@pskindesign.com,pskindesign.com,6504512993
Manresa Bread,info@manresabread.com,https://manresabread.com/,,https://manresabread.com/,"Santa Clara County, CA","Bakery, cafe and wholesale","Manresa Bread operates multiple Santa Clara County locations and wholesale/retail paths; product, location and ordering content can help customers navigate the brand.",2026-09-15,"Current owned site lists active Campbell, Los Gatos, Los Altos and Palo Alto locations and public info contact.",YES,,manresabread,info@manresabread.com,manresabread.com,
Cute Flowers & Gifts,cuteflowers@sbcglobal.net,https://cuteflowersandgifts.com/,408-309-6162,https://cuteflowersandgifts.com/,"Santa Clara, CA","Florist, delivery and events","Cute Flowers & Gifts offers occasion-driven arrangements, delivery and event flowers; occasion and ordering-prep content can make the buying path clearer.",2026-09-15,"Current owned site lists 3294 El Camino Real, Santa Clara, public ISP inbox and phone.",YES,,cuteflowersgifts,cuteflowers@sbcglobal.net,cuteflowersandgifts.com,4083096162
Pano Ranch,panoranchstore@gmail.com,https://panranch.com/,408-743-5910,https://panranch.com/,"Sunnyvale, CA","Floral design, gifts and events","Pano Ranch combines floral gifts, custom event flowers, pickup and shipping; occasion, event and fulfillment-choice content can clarify several real purchase paths.",2026-09-15,"Current owned site lists 365 San Aleso Ave, Sunnyvale, public Gmail inbox, phone and active event/gift paths.",YES,,panoranch,panoranchstore@gmail.com,panranch.com,4087435910
Paola's Flowers and Events,claudiaevents24@gmail.com,https://paolasflowersandevents.com/,408-773-9947,https://paolasflowersandevents.com/,"Sunnyvale, CA","Florist, rentals and events","Paola's combines everyday flowers with weddings/events and party rentals; occasion, event and rental-use-case content can expose those distinct customer paths.",2026-09-15,"Current owned site lists 211 E Maude Ave, Sunnyvale, public Gmail inbox and current delivery/event services.",YES,,paolasflowersevents,claudiaevents24@gmail.com,paolasflowersandevents.com,4087739947
Awesome Event Hub,wagleuttam2045@gmail.com,https://awesomeeventhub.com/,669-454-7096,https://awesomeeventhub.com/,"Sunnyvale, CA","Event, photography and training venue","Awesome Event Hub lists photography, live performance, corporate events, classes, podcasts, seminars and small events; use-case content can clarify who the space is for.",2026-09-15,"Current owned site lists 137 E Fremont Ave, Sunnyvale, public Gmail inbox and current service menu.",YES,,awesomeeventhub,wagleuttam2045@gmail.com,awesomeeventhub.com,6694547096
Shubham Halls,events@shubhamhalls.com,https://shubhamhalls.com/,669-315-4545,https://shubhamhalls.com/,"Sunnyvale, CA",Event venue and catering,"Shubham Halls offers multiple spaces, capacities and event types; venue-comparison, planning and tour-prep content can make a complex booking decision easier.",2026-09-15,"Current owned site lists 1214 Apollo Way, Sunnyvale, public events inbox and detailed venue/catering information.",YES,,shubhamhalls,events@shubhamhalls.com,shubhamhalls.com,6693154545
The Flower Cottage,flowercottagesunnyvale@gmail.com,https://www.flowercottagesunnyvale.com/,408-746-2020,https://www.flowercottagesunnyvale.com/,"Sunnyvale, CA",Florist and delivery,"The Flower Cottage sells occasion-based arrangements and delivery; occasion, timing and selection content can help customers move from browsing to ordering.",2026-09-15,"Current owned site lists 465 N Wolfe Rd, Sunnyvale, public customer-service Gmail and active floral catalog.",YES,,flowercottage,flowercottagesunnyvale@gmail.com,flowercottagesunnyvale.com,4087462020
Clara's Junction,events@clarasjunction.com,https://www.clarasjunction.com/,408-335-7788,https://www.clarasjunction.com/private-events/,"Santa Clara, CA","Restaurant, group dining and private events","Clara's Junction combines dining with flexible indoor/outdoor private events; group-size, space and event-use-case content can support its booking funnel without centering alcohol.",2026-09-15,"Current owned site lists 2221 Tasman Dr and current private-event offerings; booking provider publishes the event-team inbox.",YES,,clarasjunction,events@clarasjunction.com,clarasjunction.com,4083357788
Villa Ragusa,events@villaragusa.com,https://villaragusa.com/,408-364-1900,https://villaragusa.com/contact/,"Campbell, CA","Banquet hall, catering and events","Villa Ragusa supports weddings, corporate events, reunions and parties with resizable rooms and catering; event-type and planning content can make venue fit easier to assess.",2026-09-15,"Current owned contact page lists 35 S Second St, Campbell, events inbox and phone.",YES,,villaragusa,events@villaragusa.com,villaragusa.com,4083641900
The GlassHouse SJ,info@tghsj.com,https://www.tghsj.com/,408-606-8148,https://www.sanjose.org/listings/glass-house,"San Jose, CA",Event venue and conference space,"The GlassHouse supports corporate/private events, launches, weddings, shoots and large gatherings; event-type, capacity and tour-prep content can clarify venue fit.",2026-09-15,"Current Visit San Jose listing and current venue sources publish San Jose location, phone and public info inbox.",YES,,glasshousesj,info@tghsj.com,tghsj.com,4086068148
The Midwife and The Baker,sales@themidwifeandthebaker.com,https://www.themidwifeandthebaker.com/,650-336-7697,https://www.themidwifeandthebaker.com/,"Mountain View, CA","Bakery, retail and wholesale","The bakery supports retail pastry/bread purchases plus broader sales/wholesale paths; product, preorder and wholesale content can clarify distinct buyer needs.",2026-09-15,"Current owned storefront/checkout publishes sales@themidwifeandthebaker.com; current Mountain View business listing corroborates active location.",YES,,midwifebaker,sales@themidwifeandthebaker.com,themidwifeandthebaker.com,6503367697
