Business,Email,Website,Phone,SourceURL,City,Industry,Observation,CheckDate,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
La Bodeguita del Medio Palo Alto,BOH@LaBodeguita.com,https://www.labodeguita.com/,650-326-7762,https://www.labodeguita.com/,"Palo Alto, CA",Restaurant and private events,"La Bodeguita publishes dining and private-event options; event-space, menu and planning content can clarify real customer choices without.",2026-09-15,labodeguitadelmediopaloalto,boh@labodeguita.com,labodeguita.com,6503267762
HanaHaus Palo Alto,paloalto@hanahaus.com,https://www.hanahaus.com/,650-326-1263,https://www.hanahaus.com/,"Palo Alto, CA",Coworking and venue rental,"HanaHaus combines coworking with venue rental; workspace-vs-event use cases, booking preparation and venue-feature content can make the.",2026-09-15,hanahauspaloalto,paloalto@hanahaus.com,hanahaus.com,6503261263
Sundance The Steakhouse,sundancepaloalto@aol.com,https://www.sundancethesteakhouse.com/,650-321-6798,https://www.sundancethesteakhouse.com/,"Palo Alto, CA",Restaurant and private dining,"Sundance offers restaurant dining plus private dining; occasion, room/use-case and planning content can make private-event inquiry easier.",2026-09-15,sundancesteakhouse,sundancepaloalto@aol.com,sundancethesteakhouse.com,6503216798
Maison Alyzee Mountain View,contact@maisonalyzee.com,https://www.maisonalyzee.com/,650-960-1212,https://www.maisonalyzee.com/,"Mountain View, CA","Bakery, cafe and catering","Maison Alyzee combines bakery/cafe purchases with catering; product, occasion and catering-path content can clarify several ways customers.",2026-09-15,maisonalyzeemountainview,contact@maisonalyzee.com,maisonalyzee.com,6509601212
GK Pastry Mountain View,gkpastry@gmail.com,https://www.gkpastry.com/,650-788-4747,https://www.gkpastry.com/,"Mountain View / Los Altos, CA",Bakery and wholesale pastry,"GK Pastry has current retail and wholesale paths; product, wholesale and occasion-based content can distinguish the business from a simple.",2026-09-15,gkpastrymountainview,gkpastry@gmail.com,gkpastry.com,6507884747
The Pro Palo Alto,podcast@thepropaloalto.com,https://thepropaloalto.com/,650-899-7686,https://thepropaloalto.com/,"Palo Alto, CA",Podcast and media studio rental,"The Pro offers a studio/venue path for podcast and media production; use-case, booking-prep and package content can make a specialized.",2026-09-15,propaloalto,podcast@thepropaloalto.com,thepropaloalto.com,6508997686
La Patisserie Cupertino,cakes@lapatisserie.net,https://lapatisserie.net/,408-446-4744,https://lapatisserie.net/,"Cupertino, CA",Bakery and custom cakes,"La Patisserie sells custom cakes and bakery products through occasion-driven purchases; cake-selection, ordering timeline and event content.",2026-09-15,lapatisseriecupertino,cakes@lapatisserie.net,lapatisserie.net,4084464744
PLM Productions,plmproductions@mac.com,https://www.plmproductions.com/,831-345-0130,https://www.plmproductions.com/,"Los Altos, CA","DJ, lighting, photo and video production","PLM combines DJ, lighting, photo and video services; event-type and package-comparison content can explain which production mix fits a client.",2026-09-15,plmproductions,plmproductions@mac.com,plmproductions.com,8313450130
Phamily Peony Garden,phamilypeonygarden@gmail.com,https://phamilypeonygarden.com/,,https://phamilypeonygarden.com/,"Los Altos, CA","Floral design, events and workshops","Phamily Peony Garden combines floral design with events/workshops; occasion, event and workshop content provides specific visual purchase paths.",2026-09-15,phamilypeonygarden,phamilypeonygarden@gmail.com,phamilypeonygarden.com,
HL Peninsula Milpitas,milpitas@hlpeninsula.com,https://www.hlpeninsula.com/,408-262-3988,https://www.hlpeninsula.com/,"Milpitas, CA","Restaurant, ballroom and private events","HL Peninsula Milpitas combines restaurant dining with large ballroom/event capacity; dining-vs-event, capacity and planning content can.",2026-09-15,hlpeninsulamilpitas,milpitas@hlpeninsula.com,hlpeninsula.com,4082623988
Milpitas Studio,trmnd.ai@gmail.com,https://www.milpitasstudio.com/,,https://www.milpitasstudio.com/,"Milpitas, CA","Photo/video studio, workshops and events","Milpitas Studio combines studio rental with workshops/events; use-case, booking and event-preview content can make the facility easier for.",2026-09-15,milpitasstudio,trmnd.ai@gmail.com,milpitasstudio.com,
Frank Paul Perez Photography,frankpaulperez@gmail.com,https://www.frankpaulperez.com/,415-866-9200,https://www.frankpaulperez.com/,"Los Altos, CA",Photography,"Frank Paul Perez Photography offers a visual, session-based service; use-case, preparation and booking-timeline content can help clients.",2026-09-15,frankpaulperezphotography,frankpaulperez@gmail.com,frankpaulperez.com,4158669200
FloriFlora Florist,florifloraflorist@gmail.com,https://florifloraflorist.com/,415-533-9014,https://florifloraflorist.com/,"Cupertino, CA",Florist and event flowers,"FloriFlora sells visually driven floral arrangements and event services; occasion guides, event examples and ordering-prep content can make.",2026-09-15,florifloraflorist,florifloraflorist@gmail.com,florifloraflorist.com,4155339014
L'epi D'or Bakery,Lepidor86@gmail.com,https://www.lepi-dor.com/,408-255-2221,https://www.lepi-dor.com/,"Cupertino, CA",Bakery,"L'epi D'or has a current local bakery storefront; product, occasion and preorder-style content can make specialty baked goods easier to.",2026-09-15,epidorbakery,lepidor86@gmail.com,lepi-dor.com,4082552221
Copenhagen Crown Bakery,copenhagencrownbakery@gmail.com,https://www.sjcake.com/,408-243-5443,https://www.sjcake.com/,"Santa Clara, CA",Bakery and custom cakes,Copenhagen Crown Bakery supports everyday bakery purchases plus custom/occasion cake decisions; cake-selection and ordering-timeline content.,2026-09-15,copenhagencrownbakery,copenhagencrownbakery@gmail.com,sjcake.com,4082435443
SV Corporate Events,events@svcorporateevents.com,https://svcorporateevents.com/,669-400-4060,https://svcorporateevents.com/,"Sunnyvale, CA","Corporate meetings, offsites and events","SV Corporate Events specializes in meetings, offsites and company events; event-type, planning and package content can help organizers.",2026-09-15,svcorporateevents,events@svcorporateevents.com,svcorporateevents.com,6694004060
Busy Bloomin,events@busybloomin.com,https://www.busybloomin.com/,,https://www.busybloomin.com/,"Santa Clara, CA",Floral arrangements and events,"Busy Bloomin combines local floral ordering with event work; occasion, delivery/pickup and event-floral content can make the available paths.",2026-09-15,busybloomin,events@busybloomin.com,busybloomin.com,
Flower Divas,flowerdivas@gmail.com,https://flowerdivas.com/,408-891-2488,https://flowerdivas.com/,"Santa Clara, CA",Wedding and event florist,"Flower Divas is event-focused and highly visual; wedding/event planning, style and inquiry-prep content can showcase services without.",2026-09-15,flowerdivas,flowerdivas@gmail.com,flowerdivas.com,4088912488
Carmit Oron Interior Design,info@carmitoron.com,https://www.carmitoron.com/,,https://www.carmitoron.com/,"Sunnyvale, CA","Interior design, remodeling and e-design","Carmit Oron offers interior design, remodeling and e-design paths; project-type and service-comparison content can help clients understand.",2026-09-15,carmitoroninteriordesign,info@carmitoron.com,carmitoron.com,
